Type Ligne;Identifiant de l'élément;Structure;Type de l'élément;Statut de l'élément;Nom base français;Nom base anglais;Nom base espagnol;Nom attribut français;Nom attribut anglais;Nom attribut espagnol;Nom frontière français;Nom frontière anglais;Nom frontière espagnol;Code de la catégorie;Tags français;Tags anglais;Tags espagnol;Unité français;Unité anglais;Unité espagnol;Contributeur;Autres Contributeurs;Programme;Url du programme;Source;Localisation géographique;Sous-localisation géographique français;Sous-localisation géographique anglais;Sous-localisation géographique espagnol;Date de création;Date de modification;Période de validité;Incertitude;Réglementations;Transparence;Qualité;Qualité TeR;Qualité GR;Qualité TiR;Qualité C;Qualité P;Qualité M;Commentaire français;Commentaire anglais;Commentaire espagnol;Type poste;Nom poste français;Nom poste anglais;Nom poste espagnol;Total poste non décomposé;CO2f;CH4f;CH4b;N2O;Code gaz supplémentaire 1;Valeur gaz supplémentaire 1;Code gaz supplémentaire 2;Valeur gaz supplémentaire 2;Code gaz supplémentaire 3;Valeur gaz supplémentaire 3;Code gaz supplémentaire 4;Valeur gaz supplémentaire 4;Code gaz supplémentaire 5;Valeur gaz supplémentaire 5;Autres GES;CO2b
Elément;34052;élément non décomposé;Facteur d'émission;Archivé;"""""""	Salade César au poulet (salade verte""""""";Caesar's salad (salad;;fromage, croûtos, sauce);chicken, croûtons, sauce);;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Salades composées et crudités;"""Agribalyse,""""	Salade César au poulet (salade verte,entrées et plats composés""""""";starters and mixed dishes,Caesar's salad (salad,Agribalyse,;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;2,81;;;;;;;;;;;;;;;;
Elément;33558;élément non décomposé;Facteur d'émission;Archivé;"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""";Brioche;;préemballée;filled with custard (Chinese brioche type), prepacked;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Pains et viennoiseries;"produits céréaliers,""Agribalyse,""""Brioche fourrée crème pâtissière (type """"""""chinois""""""""),viennoiseries""""""";cereals products,pastries,Agribalyse,Brioche;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;3,83;;;;;;;;;;;;;;;;
Elément;32682;élément non décomposé;Facteur d'émission;Archivé;"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""";Biscuit (cookie);;;snack w chocolate filling;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits;"""Agribalyse,biscuits sucrés"""",""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat"",produits céréaliers";cereals products,sweet cookies,Biscuit (cookie),Agribalyse;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;7,55;;;;;;;;;;;;;;;;
Elément;32683;élément non décomposé;Facteur d'émission;Archivé;"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""";Biscuit (cookie);;;snack with fruits filling;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits;"""Agribalyse,biscuits sucrés"""",""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits"",produits céréaliers";cereals products,sweet cookies,Biscuit (cookie),Agribalyse;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;3,4;;;;;;;;;;;;;;;;
Elément;32681;élément non décomposé;Facteur d'émission;Archivé;"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""";Biscuit (cookie);;;snack with dairy or vanilla filling;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits;"""Agribalyse,""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille,biscuits sucrés"""""",produits céréaliers";cereals products,sweet cookies,Biscuit (cookie),Agribalyse;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;7,55;;;;;;;;;;;;;;;;
Elément;33358;élément non décomposé;Facteur d'émission;Archivé;"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""";Mung bean;;appertisé, égoutté;sprouted or soy spouts, canned, drained;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes;"fruits,légumes,légumineuses et oléagineux,""légumes cuits"""",""""Haricot mungo germé ou pousse de """"""""soja"""""""""",Agribalyse";fruits,vegetables,legumes and oilseeds,Mung bean,cooked vegetables,Agribalyse;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;1,9;;;;;;;;;;;;;;;;
Elément;33308;élément non décomposé;Facteur d'émission;Archivé;"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""";Mung bean;;cru;sprouted or soy spouts, raw;;;;;Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes;"légumes,légumineuses et oléagineux,""Agribalyse,""""Haricot mungo germé ou pousse de """"""""soja"""""""",légumes crus"""""",fruits";fruits,vegetables,legumes and oilseeds,raw vegetables,Mung bean,Agribalyse;;kgCO2e/kg de poids net;kgCO2e/kg (net weight);;;;AGRIBALYSE;https://app.agribalyse.fr/;https://ecolab.gitbook.io/documentation-agribalyse/;France continentale;;;;04/03/2021;17/05/2024;31/12/2023;;;5;;4;;;;;;;;;;;;;0,756;;;;;;;;;;;;;;;;
Elément;43018;élément non décomposé;Facteur d'émission;Valide générique;(4s,5s)-1,1,2,2,3,3,4,5- octafluorocyclopentane;(4s,5s)-1,1,2,2,3,3,4,5- octafluorocyclopentane;;;;;PRG à 100 ans;GWP 100 years;;Process et émissions fugitives > PRG à 100 ans issus du 6eme rapport du GIEC > Autres Gaz divers;;;;kgCO2e/kg;kgCO2e/kg;;ADEME;;6ème rapport du GIEC (2023);https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf;GIEC (AR6 - 2023);Monde;;;;23/08/2023;23/08/2023;2026;30;;;;;;;;;;;;;;;;;258;;;;;;;;;;;;;;;;
Elément;43019;élément non décomposé;Facteur d'émission;Valide générique;(e)-1-chloro-2-fluoroethene;(e)-1-chloro-2-fluoroethene;;;;;PRG à 100 ans;GWP 100 years;;Process et émissions fugitives > PRG à 100 ans issus du 6eme rapport du GIEC > Autres Gaz divers;;;;kgCO2e/kg;kgCO2e/kg;;ADEME;;6ème rapport du GIEC (2023);https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf;GIEC (AR6 - 2023);Monde;;;;23/08/2023;08/09/2023;2026;30;;;;0;0;0;0;0;0;;;;;;;;4,00E-03;;;;;;;;;;;;;;;;
Elément;43020;élément non décomposé;Facteur d'émission;Valide générique;(e)-hex-2-en-1-ol;(e)-hex-2-en-1-ol;;;;;PRG à 100 ans;GWP 100 years;;Process et émissions fugitives > PRG à 100 ans issus du 6eme rapport du GIEC > Autres Gaz divers;;;;kgCO2e/kg;kgCO2e/kg;;ADEME;;6ème rapport du GIEC (2023);https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf;GIEC (AR6 - 2023);Monde;;;;23/08/2023;08/09/2023;2026;30;;;;0;0;0;0;0;0;;;;;;;;2,00E-03;;;;;;;;;;;;;;;;
Elément;43021;élément non décomposé;Facteur d'émission;Valide générique;(z)-hex-2-en-1-ol;(z)-hex-2-en-1-ol;;;;;PRG à 100 ans;GWP 100 years;;Process et émissions fugitives > PRG à 100 ans issus du 6eme rapport du GIEC > Autres Gaz divers;;;;kgCO2e/kg;kgCO2e/kg;;ADEME;;6ème rapport du GIEC (2023);https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf;GIEC (AR6 - 2023);Monde;;;;23/08/2023;08/09/2023;2026;30;;;;0;0;0;0;0;0;;;;;;;;3,00E-03;;;;;;;;;;;;;;;;
Elément;20620;élément non décomposé;Facteur d'émission;Archivé;1 achat sur le web;1 web purchase;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/05/2026;;100;;;;0;0;0;0;0;0;;;;;;;;7,55E-03;;;;;;;;;;;;;;;;
Elément;20615;élément non décomposé;Facteur d'émission;Archivé;1 mail;1 email;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/05/2026;;100;;;;;;;;;;;;;;;;;4,00E-03;;;;;;;;;;;;;;;;
Elément;20616;élément non décomposé;Facteur d'émission;Archivé;1 mail avec pièce jointe;1 email with attached document;;;;;;;;Achats de services > Autres services;services informatiques;;;kgCO2e/unité;kgCO2e/unit;;ADEME;;;;;Monde;;;;05/11/2014;05/05/2026;;100;;;;;;;;;;;;;;;;;0,035;;;;;;;;;;;;;;;;
